user_id,business_id,stars,latitude,longitude,categories
JJ-qgqyl4M3N88owKJRJHw,H3JjbID9Zhukpqr9uupHAA,4,36.1366299,-86.8004366,"Burgers, Bars, Restaurants, Nightlife, American (New), Breakfast & Brunch, Lounges"
6j4NN66UESCtdcNJulB4fw,_Xo-JzgxbMaDi5cvlfHpwg,1,27.9942212,-82.220255,"Restaurants, Barbeque"
nE90dt6_P6UyFe80LUrnvQ,WbA5ud4InNWkizW7HE5kRQ,1,32.22097,-110.970157,"Mexican, Restaurants, Nightlife, Bars, Venues & Event Spaces, Event Planning & Services"
kaHmTcEoVS3oQvfJfDe8kg,KhBUg5QhBYuK8RZAe5gDMQ,5,27.9919501,-82.4596455,"Restaurants, Nightlife, Pubs, Food, Bars, American (New), German, Coffee & Tea, American (Traditional), Beer Bar"
SIhJRPMoUxspakLdm6NS_w,GBTPC53ZrG1ZBY3DT8Mbcw,5,29.9507416316,-90.0704155423,"German, Restaurants, Seafood, Cocktail Bars, French, Brasseries, American (New), Nightlife, Bars, Cajun/Creole, Breakfast & Brunch"
QTLPtrITcGOQdPRSQVybgw,RKVZbcCKNcAM5Jk_cV7I9A,5,38.5999553,-90.2118706,"American (New), Restaurants"
mpGf1NiMYvKyYYrLgCpy2w,vzG8THG9K2lDu-Ah6vFAVA,5,38.596777345,-90.2178671888,"Cafes, Italian, Pizza, Restaurants, Breakfast & Brunch"
pOGG-eUTfPCaQN3Lt29JNA,k4gi0CDSas1glukpWHtoFg,5,27.730499285,-82.7449756747,"Nightlife, Bars, Restaurants, American (New)"
GhC4OUYMEPYwZeHfKmwmMQ,TRxR32_T_7Ly_RW4Ke97fw,4,38.6387913,-90.2587654,"Chinese, Restaurants"
fvAAITg1q2iDarKAmDXR4A,F2C5ENuY8CXfgoW-gAMdDA,1,39.7524474,-86.1386729,"Bars, Tiki Bars, Restaurants, Nightlife, Mexican"
DTNAb-1gJ6e2nyqCc3fdcQ,AbtYqoBGuvlWmR1gU0c3XA,4,39.9448121788,-75.158305077,"Food, Delis, Beer, Wine & Spirits, Restaurants"
W1EYIoJdKisS-Fv6UYt_ng,h85b3MFPWyaopMBy8DpBpA,1,40.0407573,-75.1448014,"Restaurants, Food, Ethnic Food, Cafes, Caribbean, Specialty Food"
R8_ll1FuWVhGgpRLHlvxqA,Yh_KhyVD6ZBwsIQQ1wSUpw,5,28.0250188,-82.4881568,"Vietnamese, Restaurants"
9bLLhB3Ji4miHY6I4jxgvA,cg4JFJcCxRTTMmcg9O9KtA,5,27.936236,-82.482862,"Wine Bars, Desserts, Bars, American (New), Nightlife, Restaurants, Italian, Food, Salad, Breakfast & Brunch, Pizza"
Z1Yf5YQpGTo7FK93HB5qaA,cMf3Ej3KNBoN2sIpLCm9Rg,5,40.1658328,-75.4799696,"Restaurants, Mediterranean, Event Planning & Services, Salad, Kebab, Caterers, Sandwiches, Greek"
pe9CCxGvyztgbvRRhh-1aA,ncxN9II-MeXRudUrE3GVsA,5,40.0991065,-75.3513976,"Restaurants, Nightlife, Bars, Barbeque, Sports Bars, Dive Bars, Arts & Entertainment, Music Venues"
619RUrdIbv9Vgo3Y2eHXXg,Iso6F11o-W4g6d7OUEaMng,4,29.943869,-90.133781,"Seafood, Restaurants, Cajun/Creole, Salad"
fjGplLeiZHQDgajZXPLl4g,_GwN0kWZOs3DFpNDZIblRw,2,40.037656,-75.4945024,"Gastropubs, Restaurants, American (Traditional)"
uyNoxax8eAIVov-aGz4Kzw,jMZ56S8Y1t7cA1Ob-d-qeA,4,29.9632273,-90.0579277,"Nightlife, Jazz & Blues, American (New), Music Venues, Restaurants, Gastropubs, Arts & Entertainment"
Idgvo2xfcKRWGzFdHhM6sw,UakVMT3xrpbFB2pHdxPjnw,5,28.0116959,-82.7894068,"Bars, Nightlife, American (Traditional), Restaurants, Breakfast & Brunch"
CKliVz1OollSzESzr21LGQ,CAQFxeImeXVWnlBL4BzZwQ,5,39.8955529,-75.0173948,"Italian, Pizza, Restaurants"
GTUkDvkgnsnw5pDpCDG24g,1QVB0_-piu0GXes87BXeGw,5,28.0233909196,-82.7082316316,"Hot Dogs, Ice Cream & Frozen Yogurt, Restaurants, Food"
CLw5_koyM6ZplRTkjl1ZLw,lk9IwjZXqUMqqOhM774DtQ,5,36.1483712,-86.7988947,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners"
QztjHeND8Agw8upiqKmthg,f9iPWhAeA_IKCF-aPcud1A,5,39.7327745,-75.6261279,"Restaurants, Filipino, Food, Bakeries"
OO_6Rk9Z0nemsjTaT3q-4w,Zi-F-YvyVOK0k5QD7lrLOg,5,29.9584576,-90.063188,"Cajun/Creole, Restaurants"
gB7_aM_xC_jVZ0sB5jARTw,hoYHhfn4w0mVjI60eHDHzA,5,39.965637,-75.140681,"Seafood, Poke, Food, Restaurants, Hawaiian"
8b1GxGBOSzAGlxoiOqq49Q,ryHhnOItSVPJB81Ty0Xb2g,5,27.8800115344,-82.786168,"Cocktail Bars, Pubs, American (New), Chicken Wings, Salad, Sandwiches, Bars, Sports Bars, Nightlife, Restaurants"
vTprcHGBn9asRfI349M1Fg,zxuVnNVAUm16Sro0dS_lmg,5,39.5278513,-119.8143374,"Breakfast & Brunch, American (New), Restaurants, Coffee & Tea, Food"
